ch |    x16 |   x10 |
qt | 0x7471 | 29809 |
qu | 0x7571 | 30065 |
qv | 0x7671 | 30321 |
qw | 0x7771 | 30577 |
qx | 0x7871 | 30833 |
qy | 0x7971 | 31089 |
qz | 0x7a71 | 31345 |
ra | 0x6172 | 24946 |
rb | 0x6272 | 25202 |
rc | 0x6372 | 25458 |
rd | 0x6472 | 25714 |
re | 0x6572 | 25970 |
rf | 0x6672 | 26226 |
rg | 0x6772 | 26482 |
rh | 0x6872 | 26738 |
ri | 0x6972 | 26994 |
rj | 0x6a72 | 27250 |
rk | 0x6b72 | 27506 |
rl | 0x6c72 | 27762 |
rm | 0x6d72 | 28018 |
rn | 0x6e72 | 28274 |
ro | 0x6f72 | 28530 |
rp | 0x7072 | 28786 |
rq | 0x7172 | 29042 |
rr | 0x7272 | 29298 |
rs | 0x7372 | 29554 |
rt | 0x7472 | 29810 |
ru | 0x7572 | 30066 |
rv | 0x7672 | 30322 |
rw | 0x7772 | 30578 |
rx | 0x7872 | 30834 |
ry | 0x7972 | 31090 |
rz | 0x7a72 | 31346 |
sa | 0x6173 | 24947 |
sb | 0x6273 | 25203 |
sc | 0x6373 | 25459 |
sd | 0x6473 | 25715 |
se | 0x6573 | 25971 |
sf | 0x6673 | 26227 |
sg | 0x6773 | 26483 |
sh | 0x6873 | 26739 |
si | 0x6973 | 26995 |
sj | 0x6a73 | 27251 |
sk | 0x6b73 | 27507 |
sl | 0x6c73 | 27763 |
sm | 0x6d73 | 28019 |
sn | 0x6e73 | 28275 |
so | 0x6f73 | 28531 |
sp | 0x7073 | 28787 |
sq | 0x7173 | 29043 |
sr | 0x7273 | 29299 |
ss | 0x7373 | 29555 |
st | 0x7473 | 29811 |
su | 0x7573 | 30067 |
sv | 0x7673 | 30323 |
sw | 0x7773 | 30579 |
sx | 0x7873 | 30835 |
sy | 0x7973 | 31091 |
sz | 0x7a73 | 31347 |
ta | 0x6174 | 24948 |
tb | 0x6274 | 25204 |
tc | 0x6374 | 25460 |
td | 0x6474 | 25716 |
te | 0x6574 | 25972 |
tf | 0x6674 | 26228 |
tg | 0x6774 | 26484 |
th | 0x6874 | 26740 |
ti | 0x6974 | 26996 |
tj | 0x6a74 | 27252 |
tk | 0x6b74 | 27508 |
tl | 0x6c74 | 27764 |
tm | 0x6d74 | 28020 |
tn | 0x6e74 | 28276 |
to | 0x6f74 | 28532 |
tp | 0x7074 | 28788 |
tq | 0x7174 | 29044 |
tr | 0x7274 | 29300 |
ts | 0x7374 | 29556 |
tt | 0x7474 | 29812 |
tu | 0x7574 | 30068 |
tv | 0x7674 | 30324 |
tw | 0x7774 | 30580 |
tx | 0x7874 | 30836 |
ty | 0x7974 | 31092 |
tz | 0x7a74 | 31348 |
ua | 0x6175 | 24949 |
ub | 0x6275 | 25205 |
uc | 0x6375 | 25461 |
ud | 0x6475 | 25717 |
ue | 0x6575 | 25973 |
uf | 0x6675 | 26229 |
ug | 0x6775 | 26485 |
uh | 0x6875 | 26741 |
ui | 0x6975 | 26997 |
uj | 0x6a75 | 27253 |
uk | 0x6b75 | 27509 |
ul | 0x6c75 | 27765 |
um | 0x6d75 | 28021 |
un | 0x6e75 | 28277 |
uo | 0x6f75 | 28533 |
up | 0x7075 | 28789 |
uq | 0x7175 | 29045 |
ur | 0x7275 | 29301 |
us | 0x7375 | 29557 |
ut | 0x7475 | 29813 |
uu | 0x7575 | 30069 |
uv | 0x7675 | 30325 |
uw | 0x7775 | 30581 |
ux | 0x7875 | 30837 |
uy | 0x7975 | 31093 |
uz | 0x7a75 | 31349 |
va | 0x6176 | 24950 |
vb | 0x6276 | 25206 |
vc | 0x6376 | 25462 |
vd | 0x6476 | 25718 |
ve | 0x6576 | 25974 |
vf | 0x6676 | 26230 |
vg | 0x6776 | 26486 |
vh | 0x6876 | 26742 |
vi | 0x6976 | 26998 |
vj | 0x6a76 | 27254 |
vk | 0x6b76 | 27510 |
vl | 0x6c76 | 27766 |
vm | 0x6d76 | 28022 |
vn | 0x6e76 | 28278 |
vo | 0x6f76 | 28534 |
vp | 0x7076 | 28790 |
vq | 0x7176 | 29046 |
vr | 0x7276 | 29302 |
vs | 0x7376 | 29558 |
vt | 0x7476 | 29814 |
vu | 0x7576 | 30070 |
vv | 0x7676 | 30326 |
vw | 0x7776 | 30582 |
vx | 0x7876 | 30838 |
vy | 0x7976 | 31094 |
vz | 0x7a76 | 31350 |
wa | 0x6177 | 24951 |
wb | 0x6277 | 25207 |
wc | 0x6377 | 25463 |
wd | 0x6477 | 25719 |
we | 0x6577 | 25975 |
wf | 0x6677 | 26231 |
wg | 0x6777 | 26487 |
wh | 0x6877 | 26743 |
wi | 0x6977 | 26999 |
wj | 0x6a77 | 27255 |
wk | 0x6b77 | 27511 |
wl | 0x6c77 | 27767 |
